protocol,velocity_mps,seed_offset,pdr
PZ-2021,2.5,6,0.9056739988131248
PZ-2021,2.5,7,0.8949980571004017
PZ-2021,2.5,8,0.9018997935142715
PZ-2021,2.5,9,0.8853416363231064
PZ-2021,2.5,10,0.8811485698257718
PZ-2021,2.5,11,0.8943734867946519
PZ-2021,2.5,12,0.872371925726098
PZ-2021,2.5,13,0.9034852786023551
PZ-2021,2.5,14,0.8925535384460281
PZ-2021,2.5,15,0.8956505019050229
PZ-2021,2.5,16,0.8857013945516147
PZ-2021,2.5,17,0.8847943105213011
PZ-2021,2.5,18,0.8804220982741957
PZ-2021,2.5,19,0.8755860180259427
PZ-2021,2.5,20,0.8771534324594956
PZ-2021,2.5,21,0.8936149012609254
PZ-2021,2.5,22,0.8883629780946937
PZ-2021,2.5,23,0.8932556382491648
PZ-2021,2.5,24,0.8784142441407432
PZ-2021,2.5,25,0.8740559016539268
PZ-2021,2.5,26,0.9014485659588745
PZ-2021,2.5,27,0.8875690816712788
PZ-2021,2.5,28,0.8985092829486785
PZ-2021,2.5,29,0.9021966331593926
PZ-2021,3.0,0,0.8852959074600685
PZ-2021,3.0,1,0.8692042253240577
PZ-2021,3.0,2,0.875666172780933
PZ-2021,3.0,3,0.8939202622413183
PZ-2021,3.0,4,0.887756193704939
PZ-2021,3.0,5,0.8721009116961587
PZ-2021,3.0,6,0.8629986875323109
PZ-2021,3.0,7,0.8797965933357682
PZ-2021,3.0,8,0.8772673756728472
PZ-2021,3.0,9,0.8602712835203298
PZ-2021,3.0,10,0.893642845180027
PZ-2021,3.0,11,0.8948717753155744
PZ-2021,3.0,12,0.8651307432884296
PZ-2021,3.0,13,0.8794285666592583
PZ-2021,3.0,14,0.883500396743489
PZ-2021,3.0,15,0.8795377523089831
