velocity_mps,snr_dB,cdf
2.0,13.316582914572866,0.617
2.0,13.517587939698494,0.635
2.0,13.718592964824122,0.651
2.0,13.91959798994975,0.668
2.0,14.120603015075378,0.6844
2.0,14.321608040201006,0.7022
2.0,14.522613065326635,0.7188
2.0,14.723618090452263,0.7324
2.0,14.92462311557789,0.7486
2.0,15.125628140703519,0.7634
2.0,15.326633165829147,0.7762
2.0,15.527638190954775,0.7884
2.0,15.728643216080403,0.8014
2.0,15.929648241206031,0.8124
2.0,16.13065326633166,0.8222
2.0,16.331658291457288,0.8326
2.0,16.532663316582916,0.8446
2.0,16.733668341708544,0.855
2.0,16.934673366834172,0.867
2.0,17.1356783919598,0.8774
2.0,17.33668341708543,0.8874
2.0,17.537688442211056,0.8954
2.0,17.738693467336685,0.9044
2.0,17.939698492462313,0.913
2.0,18.14070351758794,0.9214
2.0,18.34170854271357,0.9274
2.0,18.542713567839197,0.9334
2.0,18.743718592964825,0.9402
2.0,18.944723618090453,0.9462
2.0,19.14572864321608,0.9528
2.0,19.34673366834171,0.9568
2.0,19.547738693467338,0.9604
2.0,19.748743718592966,0.963
2.0,19.949748743718594,0.9668
2.0,20.150753768844222,0.9694
2.0,20.35175879396985,0.973
2.0,20.55276381909548,0.9752
2.0,20.753768844221106,0.9778
2.0,20.954773869346734,0.9804
2.0,21.155778894472363,0.9828
2.0,21.35678391959799,0.9838
2.0,21.55778894472362,0.9852
2.0,21.758793969849247,0.9866
2.0,21.959798994974875,0.9884
2.0,22.160804020100507,0.9888
2.0,22.36180904522613,0.99
2.0,22.562814070351763,0.9914
2.0,22.763819095477388,0.992
2.0,22.96482412060302,0.9928
2.0,23.165829145728644,0.9934
2.0,23.366834170854275,0.9944
2.0,23.5678391959799,0.9952
2.0,23.76884422110553,0.9952
2.0,23.969849246231156,0.9958
2.0,24.170854271356788,0.996
2.0,24.371859296482413,0.996
2.0,24.572864321608044,0.9962
2.0,24.77386934673367,0.9964
2.0,24.9748743718593,0.9968
2.0,25.175879396984925,0.9976
2.0,25.376884422110557,0.9978
2.0,25.57788944723618,0.9986
2.0,25.778894472361813,0.9988
2.0,25.979899497487438,0.999
2.0,26.18090452261307,0.9992
2.0,26.381909547738694,0.9992
2.0,26.582914572864325,0.9992
2.0,26.78391959798995,0.9992
2.0,26.98492462311558,0.9996
2.0,27.185929648241206,0.9996
2.0,27.386934673366838,0.9996
2.0,27.587939698492463,0.9998
2.0,27.788944723618094,0.9998
2.0,27.98994974874372,0.9998
2.0,28.19095477386935,0.9998
2.0,28.391959798994975,1.0
2.0,28.592964824120607,1.0
2.0,28.79396984924623,1.0
2.0,28.994974874371863,1.0
2.0,29.195979899497488,1.0
2.0,29.39698492462312,1.0
2.0,29.597989949748744,1.0
2.0,29.798994974874375,1.0
2.0,30.0,1.0
3.0,-10.0,0.0
3.0,-9.798994974874372,0.0
3.0,-9.597989949748744,0.0
3.0,-9.396984924623116,0.0
3.0,-9.195979899497488,0.0
3.0,-8.99497487437186,0.0
3.0,-8.793969849246231,0.0
3.0,-8.592964824120603,0.0
3.0,-8.391959798994975,0.0
3.0,-8.190954773869347,0.0
3.0,-7.989949748743719,0.0
3.0,-7.788944723618091,0.0
3.0,-7.5879396984924625,0.0
3.0,-7.386934673366834,0.0004
3.0,-7.185929648241206,0.0004
3.0,-6.984924623115578,0.0004
3.0,-6.78391959798995,0.0006
3.0,-6.582914572864322,0.0006
3.0,-6.381909547738694,0.0008
3.0,-6.180904522613066,0.0008
3.0,-5.979899497487437,0.0008
3.0,-5.7788944723618085,0.0008
